Name,Type,VarType,Description,Description:Description,Network,Network:SingleWriter,Network:UseBinding,Network:UseBuffering
BAS_OXTNK1_MainPmp_ActCurr,Double,Network,on,Basement Oxide Tank 1 Pump - current supplied to motor by VFD,on,FALSE,FALSE,FALSE
BAS_OXTNK1_MainPmp_ActFaultCd,Int32,Network,on,Basement Oxide Tank 1 Pump Fault code,on,FALSE,FALSE,FALSE
BAS_OXTNK1_MainPmp_ActFrq,Double,Network,on,Basement Oxide Tank 1 Pump - frequency motor at,on,FALSE,FALSE,FALSE
BAS_OXTNK1_MainPmp_ActRPM,Double,Network,on,Basement Oxide Tank 1 Pump - motor actual rpm,on,FALSE,FALSE,FALSE
BAS_OXTNK1_MainPmp_ActTemp,Int32,Network,on,Basement Oxide Tank 1 Pump VFD degC,on,FALSE,FALSE,FALSE
BAS_OXTNK1_MainPmp_ActVolts,Double,Network,on,Basement Oxide Tank 1 Pump - voltage supplied to motor by VFD,on,FALSE,FALSE,FALSE
BAS_OXTNK2_MainPmp_ActCurr,Double,Network,on,Basement Oxide Tank 2 Pump - current supplied to motor by VFD,on,FALSE,FALSE,FALSE
BAS_OXTNK2_MainPmp_ActFaultCd,Int32,Network,on,Basement Oxide Tank 2 Pump Fault code,on,FALSE,FALSE,FALSE
BAS_OXTNK2_MainPmp_ActFrq,Double,Network,on,Basement Oxide Tank 2 Pump - frequency motor at,on,FALSE,FALSE,FALSE
BAS_OXTNK2_MainPmp_ActRPM,Double,Network,on,Basement Oxide Tank 2 Pump - motor actual rpm,on,FALSE,FALSE,FALSE
BAS_OXTNK2_MainPmp_ActTemp,Int32,Network,on,Basement Oxide Tank 2 Pump VFD degC,on,FALSE,FALSE,FALSE
BAS_OXTNK2_MainPmp_ActVolts,Double,Network,on,Basement Oxide Tank 2 Pump - voltage supplied to motor by VFD,on,FALSE,FALSE,FALSE
BAS_OXTNK3_MainPmp_ActCurr,Double,Network,on,Basement Oxide Tank 3 Pump - current supplied to motor by VFD,on,FALSE,FALSE,FALSE
BAS_OXTNK3_MainPmp_ActFaultCd,Int32,Network,on,Basement Oxide Tank 3 Pump Fault code,on,FALSE,FALSE,FALSE
BAS_OXTNK3_MainPmp_ActFrq,Double,Network,on,Basement Oxide Tank 3 Pump - frequency motor at,on,FALSE,FALSE,FALSE
BAS_OXTNK3_MainPmp_ActRPM,Double,Network,on,Basement Oxide Tank 3 Pump - motor actual rpm,on,FALSE,FALSE,FALSE
BAS_OXTNK3_MainPmp_ActTemp,Int32,Network,on,Basement Oxide Tank 3 Pump VFD degC,on,FALSE,FALSE,FALSE
BAS_OXTNK3_MainPmp_ActVolts,Double,Network,on,Basement Oxide Tank 3 Pump - voltage supplied to motor by VFD,on,FALSE,FALSE,FALSE
BAS_TNK1_MainPmp_ActCurr,Double,Network,on,Basement Tank 1 Pump - current supplied to motor by VFD,on,FALSE,FALSE,FALSE
BAS_TNK1_MainPmp_ActFaultCd,Int32,Network,on,Basement Tank 1 Pump Fault code,on,FALSE,FALSE,FALSE
BAS_TNK1_MainPmp_ActFrq,Double,Network,on,Basement Tank 1 Pump - frequency motor at,on,FALSE,FALSE,FALSE
BAS_TNK1_MainPmp_ActRPM,Double,Network,on,Basement Tank 1 Pump - motor actual rpm,on,FALSE,FALSE,FALSE
BAS_TNK1_MainPmp_ActTemp,Int32,Network,on,Basement Tank 1 Pump VFD degC,on,FALSE,FALSE,FALSE
BAS_TNK1_MainPmp_ActVolts,Double,Network,on,Basement Tank 1 Pump - voltage supplied to motor by VFD,on,FALSE,FALSE,FALSE
BAS_TNK2_MainPmp_ActCurr,Double,Network,on,Basement Tank 2 Pump - current supplied to motor by VFD,on,FALSE,FALSE,FALSE
BAS_TNK2_MainPmp_ActFaultCd,Int32,Network,on,Basement Tank 2 Pump Fault code,on,FALSE,FALSE,FALSE
BAS_TNK2_MainPmp_ActFrq,Double,Network,on,Basement Tank 2 Pump - frequency motor at,on,FALSE,FALSE,FALSE
BAS_TNK2_MainPmp_ActRPM,Double,Network,on,Basement Tank 2 Pump - motor actual rpm,on,FALSE,FALSE,FALSE
BAS_TNK2_MainPmp_ActTemp,Int32,Network,on,Basement Tank 2 Pump VFD degC,on,FALSE,FALSE,FALSE
BAS_TNK2_MainPmp_ActVolts,Double,Network,on,Basement Tank 2 Pump - voltage supplied to motor by VFD,on,FALSE,FALSE,FALSE
BAS_TNK3_MainPmp_ActCurr,Double,Network,on,Basement Tank 3 Pump - current supplied to motor by VFD,on,FALSE,FALSE,FALSE
BAS_TNK3_MainPmp_ActFaultCd,Int32,Network,on,Basement Tank 3 Pump Fault code,on,FALSE,FALSE,FALSE
BAS_TNK3_MainPmp_ActFrq,Double,Network,on,Basement Tank 3 Pump - frequency motor at,on,FALSE,FALSE,FALSE
